Iteración,1,2,3,4,5,6,7,8,9,10
1,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
2,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
3,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
4,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
5,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
6,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
7,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
8,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
9,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
10,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
11,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
12,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
13,366297.599609375,183348.7998046875,129219.30126953125,96540.1591796875,79846.39978027344,68156.787109375,59385.599853515625,53463.99980926514,49385.599853515625,43348.7998046875
