X1	Y1	X2	Y2
1036.8	0.0	1036.8	2500.0
3916.8	0.0	3916.8	2500.0
3052.8	0.0	3052.8	2500.0
2649.6	0.0	2649.6	2500.0
921.6	2500.0	921.6	5000.0
2419.2	2500.0	2419.2	5000.0
1094.4	2500.0	1094.4	5000.0
2995.2	0.0	2995.2	2500.0
3225.6	0.0	3225.6	2500.0
288.0	2500.0	288.0	5000.0
2822.4	2500.0	2822.4	5000.0
3686.4	0.0	3686.4	2500.0
115.2	0.0	115.2	2500.0
403.2	2500.0	403.2	5000.0
2822.4	0.0	2822.4	2500.0
3859.2	2500.0	3859.2	5000.0
3340.8	0.0	3340.8	2500.0
1152.0	2500.0	1152.0	5000.0
3801.6	2500.0	3801.6	5000.0
1094.4	0.0	1094.4	2500.0
2246.4	2500.0	2246.4	5000.0
1843.2	0.0	1843.2	2500.0
1382.4	0.0	1382.4	2500.0
576.0	0.0	576.0	2500.0
1785.6	2500.0	1785.6	5000.0
2016.0	2500.0	2016.0	5000.0
3859.2	0.0	3859.2	2500.0
691.2	0.0	691.2	2500.0
1612.8	0.0	1612.8	2500.0
2131.2	2500.0	2131.2	5000.0
3283.2	0.0	3283.2	2500.0
2880.0	2500.0	2880.0	5000.0
1900.8	0.0	1900.8	2500.0
3168.0	0.0	3168.0	2500.0
2534.4	0.0	2534.4	2500.0
2419.2	0.0	2419.2	2500.0
2592.0	2500.0	2592.0	5000.0
115.2	2500.0	115.2	5000.0
1267.2	0.0	1267.2	2500.0
1497.6	2500.0	1497.6	5000.0
2707.2	0.0	2707.2	2500.0
230.4	0.0	230.4	2500.0
748.8	0.0	748.8	2500.0
3744.0	2500.0	3744.0	5000.0
288.0	0.0	288.0	2500.0
1267.2	2500.0	1267.2	5000.0
345.6	2500.0	345.6	5000.0
2246.4	0.0	2246.4	2500.0
3456.0	2500.0	3456.0	5000.0
864.0	0.0	864.0	2500.0
633.6	0.0	633.6	2500.0
2649.6	2500.0	2649.6	5000.0
806.4	0.0	806.4	2500.0
1900.8	2500.0	1900.8	5000.0
1958.4	0.0	1958.4	2500.0
1555.2	2500.0	1555.2	5000.0
748.8	2500.0	748.8	5000.0
57.6	2500.0	57.6	5000.0
1958.4	2500.0	1958.4	5000.0
3686.4	2500.0	3686.4	5000.0
3628.8	2500.0	3628.8	5000.0
806.4	2500.0	806.4	5000.0
1440.0	2500.0	1440.0	5000.0
2361.6	0.0	2361.6	2500.0
3398.4	2500.0	3398.4	5000.0
1209.6	0.0	1209.6	2500.0
518.4	2500.0	518.4	5000.0
691.2	2500.0	691.2	5000.0
0.0	0.0	0.0	2500.0
1324.8	0.0	1324.8	2500.0
1612.8	2500.0	1612.8	5000.0
2476.8	2500.0	2476.8	5000.0
2361.6	2500.0	2361.6	5000.0
2016.0	0.0	2016.0	2500.0
172.8	0.0	172.8	2500.0
1324.8	2500.0	1324.8	5000.0
2764.8	0.0	2764.8	2500.0
3974.4	2500.0	3974.4	5000.0
3571.2	2500.0	3571.2	5000.0
3283.2	2500.0	3283.2	5000.0
0.0	2500.0	0.0	5000.0
2188.8	2500.0	2188.8	5000.0
2073.6	2500.0	2073.6	5000.0
1152.0	0.0	1152.0	2500.0
633.6	2500.0	633.6	5000.0
864.0	2500.0	864.0	5000.0
3052.8	2500.0	3052.8	5000.0
3744.0	0.0	3744.0	2500.0
1036.8	2500.0	1036.8	5000.0
3110.4	0.0	3110.4	2500.0
1440.0	0.0	1440.0	2500.0
2592.0	0.0	2592.0	2500.0
1728.0	0.0	1728.0	2500.0
1209.6	2500.0	1209.6	5000.0
1382.4	2500.0	1382.4	5000.0
518.4	0.0	518.4	2500.0
460.8	0.0	460.8	2500.0
2995.2	2500.0	2995.2	5000.0
979.2	0.0	979.2	2500.0
1728.0	2500.0	1728.0	5000.0
2304.0	2500.0	2304.0	5000.0
3513.6	2500.0	3513.6	5000.0
2764.8	2500.0	2764.8	5000.0
3801.6	0.0	3801.6	2500.0
979.2	2500.0	979.2	5000.0
2937.6	0.0	2937.6	2500.0
921.6	0.0	921.6	2500.0
3916.8	2500.0	3916.8	5000.0
2073.6	0.0	2073.6	2500.0
3571.2	0.0	3571.2	2500.0
2880.0	0.0	2880.0	2500.0
576.0	2500.0	576.0	5000.0
460.8	2500.0	460.8	5000.0
3110.4	2500.0	3110.4	5000.0
1497.6	0.0	1497.6	2500.0
2707.2	2500.0	2707.2	5000.0
2937.6	2500.0	2937.6	5000.0
1670.4	0.0	1670.4	2500.0
3340.8	2500.0	3340.8	5000.0
3168.0	2500.0	3168.0	5000.0
2188.8	0.0	2188.8	2500.0
172.8	2500.0	172.8	5000.0
3974.4	0.0	3974.4	2500.0
57.6	0.0	57.6	2500.0
3456.0	0.0	3456.0	2500.0
2476.8	0.0	2476.8	2500.0
3398.4	0.0	3398.4	2500.0
403.2	0.0	403.2	2500.0
3628.8	0.0	3628.8	2500.0
1785.6	0.0	1785.6	2500.0
2304.0	0.0	2304.0	2500.0
1843.2	2500.0	1843.2	5000.0
3225.6	2500.0	3225.6	5000.0
2534.4	2500.0	2534.4	5000.0
2131.2	0.0	2131.2	2500.0
345.6	0.0	345.6	2500.0
230.4	2500.0	230.4	5000.0
1670.4	2500.0	1670.4	5000.0
3513.6	0.0	3513.6	2500.0
1555.2	0.0	1555.2	2500.0
